其他,#genre#

CGTN,http://192.168.20.33:4000/rtp/239.93.0.62:5140
资讯新干线,http://192.168.20.33:4000/rtp/239.93.0.236:1283
蓉城先锋,http://192.168.20.33:4000/rtp/239.93.0.91:2101
快乐购物,http://192.168.20.33:4000/rtp/239.93.1.233:5140
公共·乡村,http://192.168.20.33:4000/rtp/239.93.0.245:5140
康巴卫视,http://192.168.20.33:4000/rtp/239.93.0.125:5140
峨眉电影,http://192.168.20.33:4000/rtp/239.93.0.252:5140
CETV-1高清,http://192.168.20.33:4000/rtp/239.93.1.111:5140
CETV-4,http://192.168.20.33:4000/rtp/239.93.0.50:5140
爱上4K(4K机顶盒用户可观看),http://192.168.20.33:4000/rtp/239.93.0.97:5140
卡酷动画,http://192.168.20.33:4000/rtp/239.93.0.208:5140
金鹰卡通,http://192.168.20.33:4000/rtp/239.93.0.108:5140
热播剧场,http://192.168.20.33:4000/rtp/239.93.0.56:9020
经典电影,http://192.168.20.33:4000/rtp/239.93.0.57:9024
戏曲,http://192.168.20.33:4000/rtp/239.93.0.217:9208
财富天下,http://192.168.20.33:4000/rtp/239.93.0.116:9136
收视指南,http://192.168.20.33:4000/rtp/239.93.0.195:8012
传奇,http://192.168.20.33:4000/rtp/239.93.0.235:1282
汽车频道,http://192.168.20.33:4000/rtp/239.93.0.117:1292
大爱旅游,http://192.168.20.33:4000/rtp/239.93.1.234:5140
大爱生活,http://192.168.20.33:4000/rtp/239.93.1.235:5140
大爱时尚,http://192.168.20.33:4000/rtp/239.93.1.157:4120
每日影院,http://192.168.20.33:4000/rtp/239.93.42.35:5140
幸福剧场,http://192.168.20.33:4000/rtp/239.93.42.30:5140
少儿天地,http://192.168.20.33:4000/rtp/239.93.42.34:5140
爱宠宠物,http://192.168.20.33:4000/rtp/239.93.42.32:5140
风尚生活,http://192.168.20.33:4000/rtp/239.93.42.29:5140
幸福娱乐,http://192.168.20.33:4000/rtp/239.93.42.31:5140
来钓鱼吧,http://192.168.20.33:4000/rtp/239.93.42.8:5140
麻辣体育,http://192.168.20.33:4000/rtp/239.93.42.2:5140
中国体育1,http://192.168.20.33:4000/rtp/239.93.42.25:5140
中国体育2,http://192.168.20.33:4000/rtp/239.93.42.26:5140
中国体育3,http://192.168.20.33:4000/rtp/239.93.42.27:5140
精彩推荐,http://192.168.20.33:4000/rtp/239.93.1.5:5140
红原日干乔,http://192.168.20.33:4000/rtp/239.93.0.178:5140
红原月亮湾,http://192.168.20.33:4000/rtp/239.93.0.209:5140
公共·乡村高清,http://192.168.20.33:4000/rtp/239.93.0.52:5140
魅力时尚高清,http://192.168.20.33:4000/rtp/239.93.0.190:9012
少儿动画高清,http://192.168.20.33:4000/rtp/239.93.0.193:9000
足球高清,http://192.168.20.33:4000/rtp/239.93.0.197:9040
军事高清,http://192.168.20.33:4000/rtp/239.93.0.204:9076
高网高清,http://192.168.20.33:4000/rtp/239.93.0.202:9068
音乐现场高清,http://192.168.20.33:4000/rtp/239.93.0.198:9044
解密高清,http://192.168.20.33:4000/rtp/239.93.0.199:9048
台球高清,http://192.168.20.33:4000/rtp/239.93.0.203:9072
地理高清,http://192.168.20.33:4000/rtp/239.93.0.200:9052
爱生活高清,http://192.168.20.33:4000/rtp/239.93.0.206:8028
宝宝动画高清,http://192.168.20.33:4000/rtp/239.93.0.147:5140
电竞天堂高清,http://192.168.20.33:4000/rtp/239.93.1.135:5140
热门综艺高清,http://192.168.20.33:4000/rtp/239.93.0.151:5140
墨宝高清,http://192.168.20.33:4000/rtp/239.93.0.215:9132
星空精选高清,http://192.168.20.33:4000/rtp/239.93.1.171:5140
爱怀旧高清,http://192.168.20.33:4000/rtp/239.93.42.21:5140
爱喜剧高清,http://192.168.20.33:4000/rtp/239.93.42.9:5140
爱奇谈高清,http://192.168.20.33:4000/rtp/239.93.42.22:5140
爱科幻高清,http://192.168.20.33:4000/rtp/239.93.42.10:5140
爱院线高清,http://192.168.20.33:4000/rtp/239.93.42.11:5140
爱谍战高清,http://192.168.20.33:4000/rtp/239.93.42.14:5140
爱经典高清,http://192.168.20.33:4000/rtp/239.93.42.13:5140
爱悬疑高清,http://192.168.20.33:4000/rtp/239.93.42.12:5140
爱青春高清,http://192.168.20.33:4000/rtp/239.93.42.16:5140
爱都市高清,http://192.168.20.33:4000/rtp/239.93.42.15:5140
爱幼教高清,http://192.168.20.33:4000/rtp/239.93.42.17:5140
爱玩具高清,http://192.168.20.33:4000/rtp/239.93.42.18:5140
爱动漫高清,http://192.168.20.33:4000/rtp/239.93.42.23:5140
求索频道高清,http://192.168.20.33:4000/rtp/239.93.42.24:5140
爱电竞高清,http://192.168.20.33:4000/rtp/239.93.42.19:5140
爱赛车高清,http://192.168.20.33:4000/rtp/239.93.42.20:5140
戏曲高清,http://192.168.20.33:4000/rtp/239.93.0.217:9208
绚影4K,http://192.168.20.33:4000/rtp/239.93.42.33:5140
